latin,dhivehi
Italy qaumee team ge dhauvathu Acerbi bolaalaa jahifi,އިޓަލީ ގައުމީ ޓީމުގެ ދައުވަތު އެޗެއަބީ ބޮލާލާ ޖަހައިފި
mashroou thah fashaifin: Shaheem,އިސްލާމިކް މިނިސްޓްރީގައި އޮތް 27 މިލިއަންގެ ދަރަނި އަދާކޮށް، މަޝްރޫއުތައް އަލުން ފަށައިފިން: ޝަހީމް
Unranked in America gai amaazah vaasiluvejje,އަންރޭންކްޑް އިން އެމެރިކާގައި އަމާޒަށް ވާސިލުވެއްޖެ
Hoama dhuvahuge niyalah masdhalhu case bahai nimmanee,ހޯމަ ދުވަހުގެ ނިޔަލަށް މަސްދަޅު ކޭސް ބަހައި ނިންމަނީ
China in hadhiya kuri 1500 tonne ge boafen raajje genesfi,ޗައިނާއިން ރާއްޖެއަށް ދޮޅުހާސް ޓަނުގެ ފެން؛ ފެނުގެ ދަތިކަން ފޯރާ ރަށްތަކަށް ދޭނެ
300 meehu maruvejje,އިޒްރޭލާއި ފަލަސްތީނުގެ ހަމަލާތައް ކުރިއަށް، 300 މީހުން މަރުވެއްޖެ
varugadha idhikolhu party akah MDP hadhai dhemihunnaanee party aa eku: Raees,ޒިންމާދާރު، ވަރުގަދަ އިދިކޮޅު ޕާޓީއަކަށް އެމްޑީޕީ ހަދައި ދެމިހުންނާނީ ޕާޓީއާ އެކު: ރައީސް
Gaa hudhuvaathee sarukarun elhi fiyavalhu thah dhookollaifi,ގާ ހުދުވާތީ ސަރުކާރު އެޅި ފިޔަވަޅުތައް އުވާލައި ބިން ހިއްކަން އަލުން ހުއްދަ ދީފި
MIB aai SJ Mall gulhigen aguhuri inaam thakeh libey promotion eh,އެމްއައިބީ އާއި އެސްޖޭ މޯލް ގުޅިގެން އަގުހުރި އިނާމުތަކެއް ލިބޭ ޕްރޮމޯޝަނެއް
Flat committee ga thibbevvi beyfulhun majileehah haaziru kuranee,ޝަރުތު ހަމަނުވާ މީހުންނަށް ފްލެޓްތައް ބަހާލި މައްސަލާގައި ފްލެޓް ކޮމިޓީގެ ބޭފުޅުން މަޖިލީހަށް ހާޒިރުކުރަނީ
club mubaaraaiyy thakun 4.7 Billion dollar ge aamudhanee eh hoadhun,ޔޫއެފާގެ އަމާޒު، ކްލަބް މުބާރާތްތަކުން 4.7 ބިލިއަން ޑޮލަރުގެ އާމްދަނީއެއް ހޯދުން
000 ge haradhu!,10ރ. ގެ ބޭސްގުޅައެއް ނެތިގެން 30،000ރ. ގެ ހަރަދު!
Banguraa fulhi thakaa eku launch eh gai falhu rashakah dhanikoh 10 meehaku hayyaru koffi,ބަނގުރާ ފުޅިތަކާ އެކު ލޯންޗެއްގައި ފަޅުރަށަކަށް ދަނިކޮށް 10 މީހަކު ހައްޔަރުކޮށްފި
2 gaumu eh vissnumakah aumakee emme maslahathu huri goiy: Jaishankar,ދެ ގައުމުގެ އެއް ވިސްނުމަކަށް އައުމަކީ އެންމެ މަސްލަހަތު ހުރި ގޮތް: ޖައިޝަންކަރު
Shah ge Jawaan ge Trailer nerefi,"ޝާހުގެ ""ޖަވާން""ގެ ޓްރެއިލާ ނެރެފި"
e ehbasvun uvaaleveynee court in: Ali Hussain,ހައްގުވެރިންނަކީ ކުރީގެ 4،000 ފްލެޓް ލިސްޓު، އެ އެއްބަސްވުން އުވާލެވޭނީ ކޯޓުން: އަލީ ހުސެއިން
Democrats ge nimmumaa gulhey mauloomaathu dheyn MDP inn nursasmee badhaluvumeh baavvanee,ޑިމޮކްރެޓްސްގެ ނިންމުމާ ގުޅޭ މައުލޫމާތު ދޭން އެމްޑީޕީން ނުރަސްމީ ބައްދަލުވުމެއް ބާއްވަނީ
Dubai gai fen hindhan 8 billion dollar ge project eh,ދުބާއީގައި ފެން ހިންދަން 8 ބިލިއަން ޑޮލަރުގެ ޕްރޮޖެކްޓެއް
FIBA Under 16 Asia cup SABA qualifiers miadhu fashanee,ފީބާ، 16 އަހަރުން ދަށުގެ އޭޝިއާ ކަޕް ސަބާ ކޮލިފަޔާސް މިއަދު ފަށަނީ
250 meehakaa registry havaalu koffi,ގޯތީގެ އެއްބަސްވުންތަކުގައި ސޮއިކޮށް 8،250 މީހަކާ ރަޖިސްޓަރީ ހަވާލުކޮށްފި
India beyrah fethunu boat in theyo leak vanee,އިންޑިއާ ބޭރަށް ފެތުނު ބޯޓުން ތެޔޮ ލީކުވަނީ
Raajjey gai libey aanmu beysthah undhagulakaa nulaa libeythoa STO in kashavaru kuraanan: Shimad,ރާއްޖޭގައި ލިބޭ އާންމު ބޭސްތައް އުނދަގުލަކާ ނުލައި ލިބޭތޯ އެސްޓީއޯއިން ކަށަވަރު ކުރާނަން: ޝިމާދު
000ރ. ގެ ތަކެތި ކެއި މީހަކު ޖަލަށް,"އޮލިވް ގާޑަންއަށް ފޭކް ސްލިޕް ފޮނުވައިގެން 115,000ރ. ގެ ތަކެތި ކެއި މީހަކު ޖަލަށް"
Imaaraathun zuvaanaa vettunu haadhisaa usooluge therein thahugeegu kuran MDP in govaalaifi,އިމާރާތަކުން ޒުވާނަކު ވެއްޓުނު ހާދިސާ މިނިވަންކޮށް ތަހުގީގުކުރަން އެމްޑީޕީން ގޮވާލައިފި
Neha Kakkar aailaa aa eku Irufushi gai,ނޭހާ ކައްކަރު އާއިލާއާ އެކު އިރުފުށީގައި
Lamha bandhun dhookolli massala HC in nubalan nimmee goaskoh: SC,ލަމްހާ ދޫކޮށްލި މައްސަލަ ހައި ކޯޓުން ނުބަލަން ނިންމީ ގޯސްކޮށް: ސުޕްރީމް ކޯޓް
Umurun 60 aharugai Miss universe ge thaaju,އުމުރުން 60 އަަހަރުގައި މިސް ޔުނިވާސްގެ ތާޖު
Nations League quarter final: Champion Spain ah Africa World Cup ge replay eh,ނޭޝަންސް ލީގުގެ ކުއާޓާ ފައިނަލް: ޗެމްޕިއަން ސްޕެއިނަށް އެފްރިކާ ވޯލްޑް ކަޕް ފައިނަލްގެ ރީޕްލޭ އެއް
Australia ge maruzeggai Raajjeyge ufedhdhunthah,އޮސްޓްރޭލިއާގެ މައުރަޒެއްގައި ރާއްޖޭގެ ހިރިގަލުގެ އުފެއްދުންތައް
Bridge eh vetti america ge muhimmu bandhareh bandhu vejje,ބޯޓަކުން ޖެހި އެމެރިކާގެ ބްރިޖެއް ވެއްޓި މުހިންމު ބަނދަރެއް ބަންދުވެއްޖެ
kanduthah gadhavaane: MET,ހުޅަނގު މޫސުމުގެ ބާރުގަދަވެ، ކުރިއަށް އޮތް ދުވަސްތަކުގައި ވިއްސާރަކޮށް، ކަނޑުތައް ގަދަވާނެ: މެޓް
Handulaai fuh beynunvaa meehun registry vaan hulhuvaalanee,ސަރުކާރުން ދޭ ހަނޑުލާއި ފުށް ބޭނުންވާ މީހުން ރަޖިސްޓްރީވާން އަންނަ ހަފްތާގައި ހުޅުވާލަނީ
ehen department akah!,ބޮޑެތި މަރުތަކުގެ އިންވެސްޓިގޭޝަންގެ އިސްވެރިޔާގެ މަގާމުން ސާމިހު ވަކިކޮށް، އެހެން ޑިޕާޓްމެންޓަކަށް!
Spain ge idhaaraathakun massala balan feshi fahun FIFA in Rubiales suspend kohfi,ސްޕޭނުގެ އިދާރާތަކުން މައްސަލަ ބަލަން ފެށިފަހުން ފީފާއިން ރުބިއަލެސް ސަސްޕެންޑްކޮށްފި
Iran inn Israel ah dhin vaige hamalaa gai 180 vure gina missile fonuvi,އިރާނުން އިޒްރޭލަށް ދިން ވައިގެ ހަމަލާގައި 180 އަށް ވުރެ ގިނަ މިސައިލް ފޮނުވި
Huhdha nethi online course thah hingaa thanthanah fiyavalhu alhaanan: MQA,ހުއްދަ ނެތި އޮންލައިން ކޯސް ހިންގާ ތަންތަނަށް ފިޔަވަޅު އަޅާނަން: އެމްކިއުއޭ
Dhigu vaahaka: Diary ah fahu - 11,ދިގު ވާހަކަ: ޑައިރީއަށް ފަހު -11
PG ge amuraa eku goachaai flat aa gulhey avas thahugeegeh fashaifi,ޕީޖީގެ އަމުރާ އެކު ގޯއްޗާއި ފްލެޓްތަކާ ގުޅޭ އަވަސް ތަހުގީގެއް ފަށައިފި
Shamman ge bandhaa gulhey massala balan Supreme court in ninmaifi,ޝަމްއާންގެ ބަންދާ ގުޅޭ މައްސަލަ ބަލަން ސުޕްރީމް ކޯޓުން ނިންމައިފި
Gina adhadhehge doctor innah Naruhun hoadhan iulaan koffi,ގިނަ އަދަދެއްގެ ޑޮކްޓަރުންނާއި ނަރުހުން ހޯދަން ހެލްތުން އިއުލާނުކޮށްފި
Diving ah faibaa ulhenikoh gellunu Japan ge tourist meehaa maruvefai ovvaa fenijje,ޑައިވިނަށް ގޮސް އުޅެނިކޮށް ގެއްލުނު ޖަޕާނުގެ ޓޫރިސްޓު މަރުވެފައި އޮއްވާ ފެނިއްޖެ
Halhuthaalu kurun hani kuri gavaaidh gaanoon asaasee aa khilaaf: HC,މުވައްޒަފުން ހަޅުތާލުކުރުން ހަނިކުރި ގަވާއިދު ގާނޫނުއަސާސީއާ ހިލާފު، އެކަމަކު ހަ މަސް ވަންދެން އަމަލުކުރެވޭނެ: ހައި ކޯޓް
Hamaas ge badhdhaluvun varah kaamiyaabu: USA,ހަމާސްއާ ބައްދަލުކުރެއްވި އެމެރިކާގެ މަންދޫބު ވިދާޅުވަނީ ވަރަށް ކާމިޔާބު ކަމަށް
Ithuru vaguthuge goal thakun Ronaldo ge Al-Nassr AFC Champions League ah,އިތުރު ވަގުތުގެ ގޯލުތަކުން ރޮނާލްޑޯގެ އައް ނަސްރު އޭއެފްސީ ޗެމްޕިއަންސް ލީގަށް
Magah kuni elhi meehaku CCTV footage thah balaigen hoadhai joorimanaa koffi,މަގަށް ކުނި އެޅި މީހަކު ސީސީޓީވީ ފުޓޭޖުތައް ބަލައިގެން ހޯދައި ޖޫރިމަނާކޮށްފި
America ge cargo boat thakah ves dhen hamalaa dheynan,އެމެރިކާގެ ކާގޯ ބޯޓުތަކަށް ވެސް ދެން ހަމަލާ ދޭނަން: ހޫތީން
Igthisoadhu fulhaakuran USAID aaeku mashvaraa koffi,އިގުތިސޯދު ފުޅާކުރަން ޔޫއެސްއެއިޑާއެކު މަޝްވަރާކޮށްފި
Security feature himeney domain beelamuge usoolun vikkan fashanee,ސެކިއުރިޓީ ފީޗާ ހިމެނޭ ޑޮމެއިން ބީލަމުގެ އުސޫލުން ވިއްކަން ފަށަނީ
Fighter gai Hrithik aai Deepika nashaa 2 lava,"""ފައިޓާ""ގައި ރިތިކް އާއި ދީޕިކާ ނަށާ ދެ ލަވަ"
Inthihabu aharu ge furolhun thah: Roolhumaai vettumaai aadhayaa hiyaafu kaamiyaabee!,އިންތިހާބު އަހަރުގެ ފުރޮޅުންތައް: ރޫޅުމާއި ވެއްޓުމާއި އާދަޔާ ޚިލާފު ކާމިޔާބީ!
Biden aa badhdhalu  nukuran Misru aai Urudhun in nimmaifi,ބައިޑެންއާ ބައްދަލުނުކުރަން މިސްރާއި އުރުދުން އިން ނިންމައިފި
Ooredoo ge digital Island akah N. Landhoo,އުރީދޫގެ ޑިޖިޓަލް އައިލެންޑަކަށް ނ.ލަންދޫ
Error: Request failed with status code 504 **********,"ID: 140181, Error: Request failed with status code 504 **********"
Drug ge addaa eh ge gothugai beynun kuri Rabeeu Villa thalhaalumuge masakkaiy sarukaarun fashaifi,ޑްރަގްގެ އައްޑާއެއްގެ ގޮތުގައި ބޭނުންކުރި ރަބީއުވިލާ ތަޅާލުމުގެ މަސައްކަތް ސަރުކާރުން ފަށައިފި
ekamaku thahugeegu furihama: Commission,ޔުމްނުގެ ބަހެއް ހޯދަން އާއިލާއިން އެއްބާރުލުމެއް ނުދިން: ކޮމިޝަން
India ge Supreme Court in SBI ah varugadha amureh,އިންޑިއާގެ ސުޕްރީމް ކޯޓުން އެސްބީއައި އަށް ވަރުގަދަ އަމުރެއް
Iran ge dhaulathu ge TV station ah Israel inn hamalaa dheefi,އިރާނުގެ ދައުލަތުގެ ޓީވީ ސްޓޭޝަނަށް އިޒްރޭލުން ހަމަލާ ދީފި
Sterling Arsenal ah,ލޯނު އެއްބަސްވުމެއްގައި ސަންޗޯ ޗެލްސީއަށް، ސްޓާލިން އާސެނަލް އަށް
Vaahaka: Lasvun,ލަސްވުން
Isarel aa dhekolhu massalaige adu ehunthah fashanee,އިޒްރޭލާ ދެކޮޅަށް ދެކުނު އެފްރިކާއިން ކޯޓަށް ހުށަހެޅި މައްސަލައިގެ އަޑުއެހުންތައް ފަށަނީ
Mandey ge agubodu dhiriulhun: Geygai huri gahanaa thakaai aiy dhabahaai sentu ge agu 7 million gai!,މަންޑޭގެ އަގުބޮޑު ދިރިއުޅުން: ގޭގައި ހުރި ގަހަނާތަކާއި އަތްދަބަހާއި ސެންޓުގެ އަގު ހަތް މިލިއަންގައި!
inthigaalee office in ehbaarulun nudhin,އޭސީސީގެ އަމުރާ މެދު ސުވާލު އުފައްދައި އިންތިގާލީ އިންސާފުގެ އޮފީހުން އެއްބާރުލުމެއް ނުދިން
Pakistan zuvaanaku 5 million ge drug aa eku hayyaru koffi,ޕާކިސްތާނު ޒުވާނަކު ފަސް މިލިއަން ރުފިޔާގެ ޑްރަގާ އެކު އަތުލައިގެންފި
Ambani ge Mumbai Indians ge partner akah Visit Maldives,އަމްބާނީގެ މުމްބާއީ އިންޑިއަންސްގެ ޕާޓްރަނަކަށް ވިޒިޓް މޯލްޑިވްސް
Aiham aai Eenaz mulhin alah gaumee team ah,އައިހަމް އާއި އީނާޒް މުޅިން އަލަށް ގައުމީ ޓީމަށް
Iruvaige fulhangi Eid aa eku bodu majaa gandeh,އިރުވައިގެ ފުޅަނގި އީދާ އެކު ބޮޑު މަޖާގަނޑެއް
Hamalaathah huttumuge mashvaraa ah Netanyahu team eh fonuvanee,ހަމަލާތައް ހުއްޓުމުގެ މަޝްވަރާއަށް ނަތަންޔާހޫ ޓީމެއް ފޮނުވަނީ
alun HDC beynunkuran fashaifi,"އާބަންކޯ ދޫކޮށްލައި އަލުން ""އެޗްޑީސީ"" ބޭނުންކުރަން ފަށައިފި"
Fawad Khan enburi bollywood ah,ފަވާދު ހާން އެނބުރި ބޮލީވުޑަށް
Vinares flat ah ganna furniture ah muni homecare ge discount,ވިނަރެސް ފްލެޓަށް ގަންނަ ފަރުނީޗަރަށް މުނި ހޯމްކެއާގެ ޑިސްކައުންޓު
foreign ministry ge iss negumah Firaq ge thaureefu,"""27 އަހަރު ތެރޭ ނުވާ ކަމެއް،"" ފޮރިން މިނިސްޓްރީގެ އިސް ނެގުމަށް ފިރާގުގެ ތައުރީފު"
Iran ge iss leader  Khamenei avahaara kollan Israel in reyvi: Report,އިރާނުގެ އިސް ލީޑަރު ހާމަނާއީ އަވަހާރަ ކޮށްލަން އިޒްރޭލުން ރޭވި!
maruhaba vidhaalhu vejje,މުއިއްޒަށް ލަންކާގެ ރައީސް ގުޅުއްވައި، މަރުހަބާ ވިދާޅުވެއްޖެ
Hatharu mahun tax aamdhanee ge 45 percent libijje,ޓެކްސް އާމްދަނީގެ 45 ޕަސެންޓް ހަތަރު މަސް ތެރޭގައި ލިބިއްޖެ
Bangladesh in ves Starlink ah license dheefi,ބަންގްލާދޭޝް އިން ވެސް ސްޓާލިންކަށް ލައިސަންސް ދީފި
Aharuge furathama 5 dhuvahu enme ginaee Russia touristun,އަހަރުގެ ފުރަތަމަ ފަސް ދުވަހު އެންމެ ގިނައީ ރަޝިއާ ޓޫރިސްޓުން
Israel in Yemen ge international airport halaaku kollaifi,އިޒްރޭލުން ޔަމަންގެ އިންޓަނޭޝަނަލް އެއާޕޯޓް ހަލާކުކޮށްލައިފި
Nidhumah Khaassa Routine eh Muhimmu,ނިދުމަށް ހާއްސަ ރޫޓިންއެއް މުހިންމު
9 gaumakaa eku India kanduge thamreenu harakaatheh Raajjeygai,ނުވަ ގައުމަކާ އެކު އިންޑިޔާ ކަނޑުގެ ތަމްރީނު ހަރަކާތެއް ރާއްޖޭގައި
Ha. Ihavandhoo gai MIB ge ATM eh bahattany,ހއ. އިހަވަންދޫގައި އެމްއައިބީގެ އޭޓީއެމްއެއް ބަހައްޓަނީ
Benzema ge ItIttihad in Saudi League kaamiyaabu kurumaa gaathah,ބެންޒެމާގެ އިއްތިހާދުން ސައުދީ ލީގު ކާމިޔާބު ކުރުމާ ގާތަށް
Kuri ah othee igthisaadhugai hakatha ufedheyne ahareh: Saeed,ކުރިއަށް އޮތީ އިގްތިސާދުގައި ހަކަތަ އުފެދޭނެ އަހަރެއް: ސައީދު
Flat aai goathi dhinas vote dheykah nujehey: PPM,ފްލެޓާއި ގޯތި ދިނަސް ވޯޓު ދޭކަށް ނުޖެހޭ: ޕީޕީއެމް
Nobel inaamu libifaivaa Yoonus aa Bangladesh ge vaguthee sarukaaru havaalu kuranee,ނޯބެލް އިނާމު ލިބިފައިވާ ޔޫނުސްއާ ބަންގްލާދޭޝްގެ ވަގުތީ ސަރުކާރު ހަވާލުކުރަނީ
Addu ge israhvehinnah Ooredoo ge roadha veellun,އައްޑޫގެ އިސްރަށްވެހިންނަށް އުރީދޫގެ ރޯދަ ވީއްލުން
Miladhoo FENAKA branch ge 3 muvazzafaku suspend koffi,މިލަދޫގެ ފެނަކަ ބްރާންޗުގެ ތިން މުވައްޒަފަކު ސަސްޕެންޑުކޮށްފި
RDC ge Chairman ge magaamun Shamy vaki koffi,އާރުޑީސީގެ ޗެއާމަންގެ މަގާމުން ޝާމީ ވަކިކޮށްފި
Israel inn hingaa jareemaa thah huttuvan avas fiyavalhu alhan Rajjeyn dhuniye ah govaalaifi,އިޒްރޭލުން ހިންގާ ޖަރީމާތައް ހުއްޓުވަން އަވަސް ފިޔަވަޅު އަޅަން ރާއްޖޭން ދުނިޔެއަށް ގޮވާލައިފި
MMA in school thakugai haassa maalee session thakeh baavanee,އެމްއެމްއޭއިން ސްކޫލުތައް މާލީ ދާއިރާއަށް ހޭލުންތެރިކުރަނީ
Ithuru light harukoh Hanimaadhoo alikoffi,އިތުރު ލައިޓް ހަރުކޮށް ހަނިމާދޫ އަލިކޮށްލައިފި
Gasim ge biography foiy nerefi,ގާސިމްގެ ބަޔޯގްރަފީ ފޮތް ނެރެފި
Mode ge emme fahu vaguthu thah Marey aa eku,މޯޑުގެ އެންމެ ފަހު ވަގުތުތައް މަރޭއާ އެކު
samaaluvaan edhefi,ސިއްހީ ބޮޑެތި މައްސަލަތައް ފަސޭހަ ފަރުވާތައް ހޯދިއްޖެ ކަމަށް ބުނާ ފޭކް ވީޑިއޯތަކަށް ސަމާލުވާން އެދެފި
India ge team in fiyavalhu elhee fahathah: coach,އިންޑިއާގެ ޓީމުން ފިޔަވަޅު އެޅީ ފަހަތަށް: ކޯޗު
Sinan dharani  dhekkee gondi ge massala Supreme court ah hushaelhi dhuvahu,ސިނާންގެ ދަރަނި ދެއްކީ ގޮނޑީގެ މައްސަލަ ސުޕްރީމް ކޯޓަށް ހުށަހެޅި ދުވަހު
e sarahdhah vanun rakkaatheri eh noon!,ވިއްސާރައާ ހެދި އަމީނީ މަގުގެ މަސައްކަތް މެދުކަނޑާލައިފި، އެ ސަރަހައްދަށް ވަނުން ރައްކާތެރިއެއް ނޫން!
Varun ah kujjaku libenee,ވަރުން އަށް ކުއްޖަކު ލިބެނީ
De Rossi eynage kuda iruge club bankruptcy in salaamaiy kohdheefi,ޑި ރޮސީ އޭނާގެ ކުޑައިރުގެ ކްލަބް ބޭންކްރަޕްސީން ސަލާމަތްކޮށްދީފި
Raajje ah November 1-15 ah ethere kura vape in nagaa duty bodu kuran islaaheh hushahalhaifi,ރާއްޖެ އަށް ނޮވެމްބަރު 1-15 އަށް އެތެރެކުރާ ވޭޕުން ނަގާ ޑިއުޓީ ބޮޑުކުރަން އިސްލާހެއް ހުށަހަޅައިފި
Imaaraathuge masakkaiythah schedule aa eh gothah dhanee kuriah: Bayfancy,އިމާރާތުގެ މަސައްކަތްތައް ޝެޑިއުލާ އެއްގޮތަށް ދަނީ ކުރިއަށް: ބޭފެންސީ
Gas leak vefai huttaa undhun roakuranikoh kujjaku varah bodah fihijje,ގޭސް ލީކުވެފައި ހުއްޓާ އުނދުން ރޯކުރަނިކޮށް ކުއްޖަކު ވަރަށް ބޮޑަށް ފިހިއްޖެ
Soneva Jani ga velaa ah faruvaadhey center eh hulhuvaifi,ވެލަޔަށް ފަރުވާދޭ ސެންޓަރެއް ސޮނެވާ ޖާނީގައި ހުޅުވައިފި
Mi season ah fahu Allegri Juventus dhookohlan ulhey kamuge vaahaka thakaeh,މި ސީޒަނަށް ފަހު އެލެގްރީ ޔުވެންޓަސް ދޫކޮށްލަން އުޅޭކަމުގެ ވާހަކަތަކެއް
Boatrain in MHA ge aa boat bannanee,ބޯޓްރެއިން އިން އެމްއެޗްއޭގެ އާ ބޯޓު ބަންނަނީ
4 vana gai ninmaalevunas e vaanee bodu kaamiyaabakh: Guardiola,ހަތަރު ވަނަ ހޯދުނަސް އެ ވާނީ ބޮޑު ކާމިޔާބަކަށް: ގާޑިއޯލާ
Raees Dr. Muizzu ge rasmee furathama dhathurufulhugai Turkey ah furaa vadaigenfi,ރައީސް ޑރ. މުއިއްޒުގެ ރަސްމީ ފުރަތަމަ ދަތުރުފުޅު ތުރުކީއަށް
Israel ah jaasoos kohdhey kamuge thuhumathah Iran in 4 meehaku maraalaifi,އިޒްރޭލަށް ޖާސޫސްކޮށްދޭ ކަމުގެ ތުހުމަތަށް އީރާނުން ހަތަރު މީހަކު މަރާލައިފި
Error: Request failed with status code 504 **********,"ID: 138425, Error: Request failed with status code 504 **********"
Raajje-India gulhumuge aa thasavvaru thanfeezu kuran furathama badhdhaluvun baavvaifi,ރާއްޖެ-އިންޑިއާ ގުޅުމުގެ އާ ތަސައްވަރު ތަންފީޒުކުރަން ފުރަތަމަ ބައްދަލުވުން ބާއްވައިފި
Bali gaboolukoh Raees ge falhin handhaan kohdhinee 2008 aai 2013 ge natheeja,ބަލި ގަބޫލުކޮށް ރައީސްގެ ފަޅިން ހަނދާންކޮށްދިނީ 2008 އާއި 2013ގެ ނަތީޖާ
000 meehun re-registry kurumun suvaalu ufedhey: Muizzu,ދެ ދުވަސް ތެރޭގައި 25،000 މީހުން ރީރަޖިސްޓަރީ ކުރުމުން ސުވާލު އުފެދޭ: މުއިއްޒު
Miyaru ge Masverikan kuran huhdha dhinumuge visnumeh neiy: Ministry,މިޔަރުގެ މަސްވެރިކަން ހުއްދަ ކުރުމުގެ ވިސްނުމެއް ނެތް: މިނިސްޓްރީ
Nizaamee vote ah ebbas vevifai vanikoh 2 Raeesun badhalu kuravvaifi,ނިޒާމީ ވޯޓަށް އެއްބަސްވެވިފައި ވަނިކޮށް ދެ ރައީސުން ބައްދަލުކުރައްވައިފި
Ihavandhippolhu tharaggee kuran FreeZone kunfunyah,އިހަވަންދިއްޕޮޅު ތަރައްގީކުރަން ފްރީޒޯން ކުންފުންޏަށް
Nasheed mihaaru vidhaalhuvanee January in feshigen musaara nunangavaa kamah,ނަޝީދު މިހާރު ވިދާޅުވަނީ ޖެނުއަރީން ފެށިގެން މެންބަރު ކަމުގެ މުސާރަ ނުނަންގަވާ ކަމަށް
Chandler ge marah fahu Joey ge asaru gadha post eh,ޗެންދުލާގެ މަރަށް ފަހު ޖޯއީގެ އަސަރުގަދަ ޕޯސްޓެއް
FA Cup in ketiyas target akee Premier League: Amorim,އެފްއޭ ކަޕުން ކެޓިއަސް ޓާގެޓަކީ ޕްރިމިއާ ލީގު: އަމޯރިމް
MDP ge Raees kamah kurimathilavvan Shahid ninmavaifi,އެމްޑީޕީގެ ރައީސް ކަމަށް ކުރިމަތިލައްވަން ޝާހިދު ނިންމަވައިފި
Adele ge aa lava eh dhen avahakah adu neeveyne,އެޑެލްގެ އާ ލަވައެއް ދެން އަވަހަކަށް އަޑުނީވޭނެ
Pension faisaa ithuru kankamah beynun kurevey goiy hadhaanan: Muizzu,އިތުުރު ކަންކަމަށް ޕެންޝަން ފައިސާ ބޭނުން ކުރެވޭ ގޮތް ހަދާނަން: މުއިއްޒު
Kuvveringe suvaru geakah Raajje mi dhanee badhalu vamun: Fandiyaaru,ކުށްވެރިންގެ ސުވަރުގެއަކަށް ރާއްޖެ މިދަނީ ބަދަލުވަމުން: ފަނޑިޔާރު
Urbanco ge bimun dhin bandaara goatheege badhalu dhenee,އާބަންކޯގެ ބިމުން ދިން ބަންޑާރަ ގޯތީގެ ބަދަލު ކުންފުންޏަށް ދެނީ
Moosun goas kamun Raisi ge helicopter vettunu sarahadhdhah rescue ah adhives nudhevey,މޫސުން ގޯސްކަމުން ރައިސީގެ ހެލިކޮޕްޓަރު ވެއްޓުނު ސަރަހައްދަށް ރެސްކިއުއަށް އަދިވެސް ނުދެވޭ
Yameen ge isthiunaaf shareeaiy aadhitha dhuvahu baavvane,ޔާމީންގެ އިސްތިއުނާފް ޝަރީއަތް އާދިއްތަ ދުވަހު ބާއްވަނީ
Sheikh Fareedhuge handhaanugai miskiy binaakuran beynunvaa faisaa hamavejje,ޝެއިހް ފަރީދުގެ ހަނދާނުގައި މިސްކިތް ބިނާކުރަން ބޭނުންވާ ފައިސާ ހަމަވެއްޖެ
Rayyithunge majileehuge inthihaabu: 93 dhaairaage candidatunge bahus PSM inn baavvanee,ރައްޔިތުންގެ މަޖިލިހުގެ އިންތިހާބު: 93 ދާއިރާގެ ކެންޑިޑޭޓުންގެ ބަހުސް ޕީއެސްއެމުން ބާއްވަނީ
Commonwealth badhaluvumah Naib Raees Samoa ah,ކޮމަންވެލްތު ބައްދަލުވުމަށް ނައިބު ރައީސް ސަމޯއާގައި
iguthisaadhee bodu badhalakah MDP in gina vaudhu thakeh,ބޭރު ފައިސާ ހޯދަން އޮތް ދަތިކަން ފިލުވުމާ އެކު، އިގްތިސާދީ ބޮޑު ބަދަލަކަށް އެމްޑީޕީން ގިނަ ވައުދުތަކެއް
Buil Expo 2025: Alia ge stole ah ziyaaraiy kurumun agu huri inaamu thakeh libey promotion eh,ބިލްޑް އެކްސްޕޯ 2025: އެލިއާގެ ސްޓޯލަށް ޒިޔާރަތް ކުރުމުން އަގުހުރި އިނާމުތަކެއް ލިބޭނެ ޕްރޮމޯޝަނެއް
ADK aai Treetop in faruvaa hoadhi meehunnah midhiya mahu NSPA in 7.4 million rufiya ge ehee,އޭޑީކޭ އާއި ޓްރީ ޓޮޕުން ފަރުވާ ހޯދި މީހުންނަށް މިދިޔަ މަހު އެންސްޕާއިން 7.4 މިލިއަން ރުފިޔާގެ އެހީ
Malè City Council ge SG magaamun vakikoffi,މާލެ ސިޓީ ކައުންސިލްގެ އެސްޖީ މަގާމުން ވަކިކޮށްފި
Kennedy ge haayathah Netflix in series eh hadhanee,ކެނެޑީގެ ހަޔާތަށް ނެޓްފްލިކްސް އިން ސީރީޒެއް ހަދަނީ
bolah libunu aniyaa gai Bordeaux ge forward adhives coma gai,ބޮލަށް ލިބުނު އަނިޔާގައި ބޯޑޯގެ ފޯވާޑް އަދިވެސް ކޯމާގައި
Abdulraheem vidhaalhuvee Yameen ge verikan badhalu kuran Jameel dhekkevi vaahakathah handhaan nunethey kamah!,އަބްދުއްރަހީމް ވިދާޅުވީ ޔާމީންގެ ވެރިކަން ބަދަލުކުރަން ޖަމީލް ދެއްކެވި ވާހަކަތައް ހަނދާން ނުނެތޭ ކަމަށް!
MACL ge dhashah Regional airports badhalu kuranee!,އެމްއޭސީއެލްގެ ދަށަށް ރީޖަނަލް އެއާޕޯޓްސް ބަދަލުކުރަނީ!
Court in kaamiyaabu hoadhiyas club thah Super League aa dhekolhu,ކޯޓުން ކާމިޔާބު ހޯދިއަސް ކުލަބުތައް ސުޕަ ލީގާ ދެކޮޅު
